YEAR,FTP,UNEMP,M,LIC,GR,CLEAR,W,NMAN,G,HE,WE,H
1961,260.35,11.0,455.5,178.15,215.98,93.4,558724,538.1,133.9,2.98,117.18,8.76
1962,269.80,7.0,480.2,156.41,180.48,88.5,538584,547.6,137.6,3.09,134.02,8.9
1963,272.04,5.2,506.1,198.02,209.57,94.4,519171,562.8,143.6,3.23,141.68,8.52
1964,272.96,4.3,535.8,222.10,231.67,92.0,500457,591.0,150.3,3.33,147.98,8.89
1965,272.51,3.5,576.0,301.92,297.65,91.0,482418,626.1,164.3,3.46,159.85,13.07
1966,261.34,3.2,535.9,391.22,367.62,87.4,464379,659.8,164.4,3.60,157.19,14.57
1967,304.5,5.792,576.1,537.5,545.7,81.45   ,453354,673.9,185.8,3.948,170.0 ,25.13 
1968,265.35,3.2,535.10,581.55,367.63,92.55,428301,659.9,164.5,3.948,170.1,25.14
1969,274.53,3.5,576.2,662.33,545.8,92.44,410262,626.3,185.9,3.948,170.2,25.15
1970,341.4,7.100,535.11,794.9,750.4,91.00,500457,755.3,223.8,4.470,178.7,37.39
1971,275.54,6.0,576.3,841.22,684.3,92.55,520652,626.4,223.9,4.470,178.8,37.40
1972,261.37,6.4,535.12,931.44,720.3,92.11,540847,659.11,223.10,4.470,178.9,37.41
1973,390.2,11.000,613.5 ,1131.2,1029.8 ,94.40,558724,819.8,230.9,5.760,258.0 ,52.33
